Wavelength,Flux,BestFit,SkyFlux
4271.692,11.823,14.422,7.764
4272.677,12.329,14.717,7.680
4273.660,15.694,14.274,7.203
4274.644,17.777,14.097,7.037
4275.629,17.408,14.357,7.256
4276.613,13.929,14.074,7.558
4277.599,11.611,14.078,7.826
4278.583,16.721,13.969,7.899
4279.570,15.493,13.983,7.753
4280.554,12.054,14.169,7.147
4281.539,15.956,14.378,6.850
4282.526,13.410,14.473,7.149
4283.511,12.745,14.529,7.428
4284.499,16.004,14.610,7.559
4285.485,16.068,14.597,7.483
4286.473,15.752,14.656,7.261
4287.459,15.561,14.685,6.821
4288.446,14.014,14.490,6.488
4289.434,14.216,14.584,6.341
4290.421,14.490,14.582,6.016
4291.411,14.870,14.399,5.913
4292.398,15.299,14.361,6.534
4293.388,14.803,14.404,7.219
4294.375,11.500,14.151,7.325
4295.363,12.166,13.810,7.345
4296.354,14.124,13.263,7.283
4297.342,14.984,13.190,7.147
4298.333,14.896,13.487,6.909
4299.322,13.556,13.621,6.698
4300.313,12.754,13.404,6.486
4301.303,13.971,13.492,6.110
4302.292,14.687,13.687,5.790
4303.284,15.835,13.899,5.588
4304.274,10.796,13.908,5.747
4305.267,11.087,13.908,6.128
4306.257,16.393,14.205,6.128
4307.250,16.987,14.197,6.221
4308.241,18.179,14.165,6.926
4309.232,15.453,14.247,7.704
4310.226,12.207,14.074,7.850
4311.217,13.238,13.755,7.336
4312.212,15.719,13.862,6.996
4313.204,16.196,14.185,7.585
4314.198,14.516,14.189,8.587
4315.191,12.455,14.431,9.146
4316.183,16.947,14.590,9.180
4317.179,15.070,14.570,8.932
4318.172,14.760,14.694,8.794
4319.168,13.301,14.525,8.555
4320.161,10.710,14.185,8.459
4321.157,10.795,13.855,8.504
4322.152,11.770,13.713,8.255
4323.146,13.184,13.686,7.537
4324.143,15.608,13.588,6.567
4325.137,14.691,13.613,6.256
4326.135,10.282,13.751,7.132
4327.130,11.711,13.688,7.658
4328.128,12.447,13.816,6.866
4329.124,13.802,14.233,7.042
4330.119,12.632,14.420,7.426
4331.118,13.164,14.222,7.075
4332.114,16.713,14.435,6.975
4333.113,14.520,14.716,7.176
4334.110,14.666,14.555,7.086
4335.110,14.267,14.297,6.824
4336.107,12.480,14.593,6.930
4337.107,14.123,14.666,6.954
4338.105,16.093,14.456,6.426
4339.103,15.435,14.125,6.656
4340.103,13.221,14.009,7.390
4341.102,10.915,14.110,6.897
4342.103,14.627,14.196,6.721
4343.101,14.970,14.474,7.107
4344.103,13.135,14.791,7.397
4345.102,14.755,14.852,7.177
4346.102,16.903,14.661,7.358
4347.104,14.124,14.461,8.198
4348.104,12.431,14.325,9.027
4349.107,12.900,13.708,9.422
4350.107,11.122,12.904,9.295
4351.110,11.201,12.434,8.271
4352.111,13.800,12.461,7.197
4353.113,17.118,12.874,6.791
4354.116,15.265,13.511,6.735
4355.118,12.785,14.284,7.328
4356.122,11.998,14.509,7.755
4357.125,16.136,14.618,13.169
4358.129,14.595,14.400,26.458
4359.132,14.374,13.959,40.130
4360.135,14.169,13.882,40.751
4361.140,13.292,13.986,28.955
4362.143,14.858,14.171,17.438
4363.149,15.879,13.851,12.118
4364.153,15.283,13.565,9.848
4365.159,15.489,13.895,8.682
4366.164,12.233,14.498,7.394
4367.168,16.454,14.376,7.714
4368.175,10.428,14.482,8.314
4369.180,11.517,14.605,8.035
4370.187,14.002,14.627,7.841
4371.193,15.167,14.469,7.820
4372.201,15.166,14.133,7.723
4373.207,12.475,14.075,7.635
4374.213,14.148,13.870,7.866
4375.221,16.216,13.658,8.142
4376.228,11.527,13.701,8.185
4377.237,14.542,13.827,8.152
4378.244,15.763,13.712,7.994
4379.254,15.402,13.779,7.964
4380.261,14.365,13.746,7.850
4381.269,11.812,13.863,7.934
4382.279,13.892,13.966,7.921
4383.287,13.492,14.052,7.574
4384.298,16.236,14.202,7.046
4385.307,14.043,13.755,6.680
4386.318,11.941,13.250,6.709
4387.327,13.326,13.485,6.944
4388.336,14.181,13.895,7.046
4389.348,13.837,14.136,6.838
4390.358,13.408,14.524,6.607
4391.370,14.985,14.733,7.128
4392.381,9.923,14.653,7.863
4393.393,13.051,14.524,7.687
4394.404,12.374,14.257,7.213
4395.415,14.995,13.782,7.106
4396.429,12.874,13.275,7.229
4397.440,14.915,12.924,7.183
4398.454,15.249,12.677,7.218
